		AE	RAE
SemEval13	SVM-KLD	0.0722	0.1720
	SVM-NKLD	0.0714	0.2756
	SVM-QBETA2	0.0782	0.2775
	LR-CC	0.0996	0.3095
	LR-EM	0.1191	0.3923
	LR-PCC	0.0344	0.1506
	LR-ACC	0.0806	0.2479
	LR-PACC	0.0812	0.2626
SemEval14	SVM-KLD	0.0843	0.2268
	SVM-NKLD	0.0836	0.3367
	SVM-QBETA2	0.1018	0.3680
	LR-CC	0.1043	0.3212
	LR-EM	0.0807	0.3517
	LR-PCC	0.1001	0.4277
	LR-ACC	0.0581	0.2360
	LR-PACC	0.0533	0.2573
SemEval15	SVM-KLD	0.1185	0.3789
	SVM-NKLD	0.1155	0.4720
	SVM-QBETA2	0.1263	0.4762
	LR-CC	0.1101	0.2879
	LR-EM	0.1204	0.2949
	LR-PCC	0.0460	0.1973
	LR-ACC	0.1064	0.2971
	LR-PACC	0.1013	0.2729
SemEval16	SVM-KLD	0.0385	0.1512
	SVM-NKLD	0.0830	0.3249
	SVM-QBETA2	0.1201	0.5156
	LR-CC	0.0500	0.1771
	LR-EM	0.0646	0.2126
	LR-PCC	0.0379	0.1553
	LR-ACC	0.0542	0.2246
	LR-PACC	0.0864	0.3504
Sanders	SVM-KLD	0.0134	0.0630
	SVM-NKLD	0.0950	0.3965
	SVM-QBETA2	0.1098	0.4360
	LR-CC	0.0671	0.2682
	LR-EM	0.0715	0.2849
	LR-PCC	0.0150	0.0602
	LR-ACC	0.0338	0.1306
	LR-PACC	0.0301	0.1173
SST	SVM-KLD	0.0413	0.1458
	SVM-NKLD	0.0749	0.2497
	SVM-QBETA2	0.0671	0.2343
	LR-CC	0.0330	0.1239
	LR-EM	0.0369	0.1190
	LR-PCC	0.0282	0.1068
	LR-ACC	0.0492	0.1689
	LR-PACC	0.0841	0.2302
OMD	SVM-KLD	0.0305	0.0999
	SVM-NKLD	0.0437	0.1279
	SVM-QBETA2	0.0624	0.1826
	LR-CC	0.0524	0.1527
	LR-EM	0.0648	0.1886
	LR-PCC	0.0046	0.0095
	LR-ACC	0.0239	0.0753
	LR-PACC	0.0100	0.0293
HCR	SVM-KLD	0.0414	0.2191
	SVM-NKLD	0.0604	0.2324
	SVM-QBETA2	0.1272	0.4600
	LR-CC	0.0525	0.1817
	LR-EM	0.0895	0.3093
	LR-PCC	0.0055	0.0202
	LR-ACC	0.0240	0.1026
	LR-PACC	0.0329	0.1436
GASP	SVM-KLD	0.0171	0.0529
	SVM-NKLD	0.0503	0.3416
	SVM-QBETA2	0.0640	0.4402
	LR-CC	0.0189	0.1297
	LR-EM	0.0231	0.1589
	LR-PCC	0.0097	0.0682
	LR-ACC	0.0150	0.1038
	LR-PACC	0.0087	0.0597
WA	SVM-KLD	0.0647	0.1957
	SVM-NKLD	0.0393	0.1357
	SVM-QBETA2	0.0798	0.2332
	LR-CC	0.0434	0.1270
	LR-EM	0.0391	0.1145
	LR-PCC	0.0338	0.0990
	LR-ACC	0.0407	0.1197
	LR-PACC	0.0277	0.0815
WB	SVM-KLD	0.0613	0.1791
	SVM-NKLD	0.0534	0.1756
	SVM-QBETA2	0.0249	0.0774
	LR-CC	0.0132	0.0399
	LR-EM	0.0244	0.0773
	LR-PCC	0.0123	0.0390
	LR-ACC	0.0230	0.0719
	LR-PACC	0.0165	0.0515
